Label,Kernel,Launches,Total_ms,Avg_ms,Block,Grid,Regs,Shmem_static_B,Shmem_dyn_B,Lmem_B,ThOcc_pct,Limiter,pct_GPU
30y/1%,Stage1,30,56377.4912,1879.24971,16,22,62,0,0,0,50.0,reg,71.76
30y/1%,Stage3,30,17268.7205,575.62402,16,22,92,0,0,0,32.8,reg,21.98
30y/1%,cuco::insert,30,3169.9536,105.66512,128,17989,36,48,0,0,75.0,shmem,4.03
30y/1%,Stage2,30,1460.7860,48.69287,16,22,92,0,0,0,32.8,reg,1.86
30y/1%,cuco::init,171025,229.0559,0.00134,256,1,10,0,0,0,100.0,thr,0.29
30y/1%,Stage4,30,53.5781,1.78594,16,22,75,0,0,0,39.1,reg,0.07
30y/1%,ExtractSizes,60,5.9053,0.09842,256,22,32,0,0,0,100.0,thr,0.01
30y/1%,cuco::insert_if,30,3.3455,0.11152,128,5,37,48,0,0,75.0,shmem,0.00
30y/1%,cuco::init,30,0.4329,0.01443,256,562,24,0,0,0,100.0,thr,0.00
30y/1%,cub::ForEach,30,0.0535,0.00178,256,2,10,0,0,0,100.0,thr,0.00
30y/3%,Stage1,52,268875.3257,5170.67934,16,53,62,0,0,0,50.0,reg,74.54
30y/3%,Stage3,52,81130.4545,1560.20105,16,53,92,0,0,0,32.8,reg,22.49
30y/3%,Stage2,52,4873.8212,93.72733,16,53,92,0,0,0,32.8,reg,1.35
30y/3%,cuco::insert,30,4762.7605,158.75868,128,25090,36,48,0,0,75.0,shmem,1.32
30y/3%,cuco::init,701600,939.0060,0.00134,256,1,10,0,0,0,100.0,thr,0.26
30y/3%,Stage4,52,103.3437,1.98738,16,53,75,0,0,0,39.1,reg,0.03
30y/3%,ExtractSizes,104,20.9811,0.20174,256,53,32,0,0,0,100.0,thr,0.01
30y/3%,cuco::insert_if,30,10.4334,0.34778,128,22,37,48,0,0,75.0,shmem,0.00
30y/3%,cuco::init,30,0.5831,0.01944,256,784,24,0,0,0,100.0,thr,0.00
30y/3%,cub::ForEach,30,0.0572,0.00191,256,6,10,0,0,0,100.0,thr,0.00
30y/5%,Stage1,147,1778626.2155,12099.49806,16,43,62,0,0,0,50.0,reg,77.92
30y/5%,Stage3,147,470774.6016,3202.54831,16,43,92,0,0,0,32.8,reg,20.63
30y/5%,Stage2,147,23399.4597,159.18000,16,43,92,0,0,0,32.8,reg,1.03
30y/5%,cuco::insert,30,7168.1451,238.93817,128,35719,36,48,0,0,75.0,shmem,0.31
30y/5%,cuco::init,1632903,2186.2133,0.00134,256,1,10,0,0,0,100.0,thr,0.10
30y/5%,Stage4,147,255.5465,1.73841,16,43,75,0,0,0,39.1,reg,0.01
30y/5%,ExtractSizes,294,50.9716,0.17337,256,43,32,0,0,0,100.0,thr,0.00
30y/5%,cuco::insert_if,30,30.3754,1.01251,128,51,37,48,0,0,75.0,shmem,0.00
30y/5%,cuco::init,30,0.8055,0.02685,256,1116,24,0,0,0,100.0,thr,0.00
30y/5%,cub::ForEach,30,0.0613,0.00204,256,13,10,0,0,0,100.0,thr,0.00
30y/6%,Stage1,171,2440512.0388,14272.00023,16,43,62,0,0,0,50.0,reg,78.15
30y/6%,Stage3,171,644006.7094,3766.12111,16,43,92,0,0,0,32.8,reg,20.62
30y/6%,Stage2,171,28110.4167,164.38840,16,43,92,0,0,0,32.8,reg,0.90
30y/6%,cuco::insert,28,7450.1427,266.07653,128,39849,36,48,0,0,75.0,shmem,0.24
30y/6%,cuco::init,1878857,2515.0187,0.00134,256,1,10,0,0,0,100.0,thr,0.08
30y/6%,Stage4,171,301.1161,1.76091,16,43,75,0,0,0,39.1,reg,0.01
30y/6%,ExtractSizes,342,60.5943,0.17718,256,43,32,0,0,0,100.0,thr,0.00
30y/6%,cuco::insert_if,28,36.9077,1.31813,128,68,37,48,0,0,75.0,shmem,0.00
30y/6%,cuco::init,28,0.8357,0.02985,256,1245,24,0,0,0,100.0,thr,0.00
30y/6%,cub::ForEach,28,0.0581,0.00208,256,17,10,0,0,0,100.0,thr,0.00
